2012-02-12T11:24:07.027+0000: 2.080: [GC [PSYoungGen: 26880K->3271K(31360K)] 26880K->3271K(72320K), 0.0264260 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2012-02-12T11:24:08.868+0000: 3.921: [GC [PSYoungGen: 30151K->4290K(31360K)] 30151K->4290K(72320K), 0.0309590 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2012-02-12T11:24:10.932+0000: 5.986: [GC [PSYoungGen: 31170K->4474K(31360K)] 31170K->5568K(72320K), 0.0374820 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2012-02-12T11:24:48.128+0000: 43.181: [GC [PSYoungGen: 31354K->4477K(31360K)] 32448K->6539K(72320K), 0.0220060 secs] [Times: user=0.02 sys=0.01, real=0.02 secs] 
2012-02-12T11:24:49.367+0000: 44.420: [GC [PSYoungGen: 31357K->4465K(31360K)] 33419K->8060K(72320K), 0.0234610 secs] [Times: user=0.01 sys=0.01, real=0.03 secs] 
2012-02-12T11:24:51.332+0000: 46.386: [GC [PSYoungGen: 31345K->4473K(24704K)] 34940K->10379K(65664K), 0.0538470 secs] [Times: user=0.06 sys=0.00, real=0.05 secs] 
2012-02-12T11:24:52.317+0000: 47.371: [GC [PSYoungGen: 24697K->3536K(28032K)] 30603K->11777K(68992K), 0.0268990 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2012-02-12T11:24:53.065+0000: 48.118: [GC [PSYoungGen: 23760K->3400K(28032K)] 32001K->12717K(68992K), 0.0190980 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2012-02-12T11:25:37.170+0000: 92.224: [GC [PSYoungGen: 23624K->3592K(28032K)] 32941K->13955K(68992K), 0.0223710 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2012-02-12T11:25:41.473+0000: 96.527: [GC [PSYoungGen: 23816K->2924K(28160K)] 34179K->15620K(69120K), 0.0236320 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2012-02-12T11:26:16.311+0000: 131.365: [GC [PSYoungGen: 23404K->1032K(21568K)] 36100K->16264K(62528K), 0.0153150 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-12T11:29:47.769+0000: 342.823: [GC [PSYoungGen: 21512K->2062K(27904K)] 36744K->18286K(68864K), 0.0107380 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-12T11:29:50.292+0000: 345.345: [GC [PSYoungGen: 22030K->969K(20992K)] 38254K->19168K(61952K), 0.0178140 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2012-02-12T12:00:01.791+0000: 2156.844: [GC [PSYoungGen: 20937K->1456K(27904K)] 39136K->20465K(68864K), 0.0094470 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-12T12:47:34.156+0000: 5009.209: [GC [PSYoungGen: 21360K->984K(27840K)] 40369K->20853K(68800K), 0.0068800 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-12T13:03:33.043+0000: 5968.097: [GC [PSYoungGen: 20888K->897K(27968K)] 40757K->21204K(68928K), 0.0067650 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-12T13:11:37.250+0000: 6452.304: [GC [PSYoungGen: 20929K->544K(27904K)] 41236K->21315K(68864K), 0.0045860 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
2012-02-12T13:27:43.383+0000: 7418.436: [GC [PSYoungGen: 20567K->556K(28224K)] 41339K->21844K(69184K), 0.0051290 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
2012-02-12T13:55:14.198+0000: 9069.251: [GC [PSYoungGen: 21036K->600K(28096K)] 42324K->22064K(69056K), 0.0043210 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-12T14:50:00.422+0000: 12355.475: [GC [PSYoungGen: 21080K->624K(28608K)] 42544K->22148K(69568K), 0.0038010 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-12T15:30:00.437+0000: 14755.491: [GC [PSYoungGen: 21808K->928K(28416K)] 43332K->22530K(69376K), 0.0049630 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-12T16:10:00.492+0000: 17155.545: [GC [PSYoungGen: 22112K->768K(29184K)] 43714K->22698K(70144K), 0.0119610 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-12T16:50:00.444+0000: 19555.498: [GC [PSYoungGen: 23019K->817K(28928K)] 44950K->23096K(69888K), 0.0059980 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-12T17:40:02.020+0000: 22557.073: [GC [PSYoungGen: 23089K->865K(29760K)] 45368K->23253K(70720K), 0.0049080 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-12T18:33:20.637+0000: 25755.690: [GC [PSYoungGen: 24289K->888K(29504K)] 46677K->23417K(70464K), 0.0053090 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-12T19:30:00.472+0000: 29155.525: [GC [PSYoungGen: 24293K->1096K(30400K)] 46822K->23685K(71360K), 0.0054910 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-12T20:30:00.460+0000: 32755.514: [GC [PSYoungGen: 25736K->1088K(30080K)] 48325K->23729K(71040K), 0.0056370 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-12T21:30:00.408+0000: 36355.462: [GC [PSYoungGen: 25728K->760K(30976K)] 48369K->23753K(71936K), 0.0054560 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-12T22:30:48.776+0000: 40003.829: [GC [PSYoungGen: 26616K->896K(30720K)] 49609K->23953K(71680K), 0.0048620 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-12T23:35:46.372+0000: 43901.425: [GC [PSYoungGen: 26752K->912K(31424K)] 49809K->24029K(72384K), 0.0050710 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-13T00:30:05.392+0000: 47160.445: [GC [PSYoungGen: 27664K->1170K(31168K)] 50781K->24371K(72128K), 0.0052290 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-13T01:45:06.840+0000: 51661.893: [GC [PSYoungGen: 27922K->840K(31936K)] 51123K->24343K(72896K), 0.0050140 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-13T02:40:01.619+0000: 54956.672: [GC [PSYoungGen: 28680K->728K(31744K)] 52183K->24239K(72704K), 0.0040660 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-13T03:50:00.424+0000: 59155.478: [GC [PSYoungGen: 28568K->952K(32256K)] 52079K->24475K(73216K), 0.0048980 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-13T04:50:01.330+0000: 62756.384: [GC [PSYoungGen: 29432K->944K(32064K)] 52955K->24491K(73024K), 0.0080270 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-13T06:10:00.386+0000: 67555.439: [GC [PSYoungGen: 29424K->888K(32640K)] 52971K->24475K(73600K), 0.0042950 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-13T07:09:47.334+0000: 71142.387: [GC [PSYoungGen: 30130K->584K(32448K)] 53718K->24459K(73408K), 0.0049880 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2012-02-13T07:58:42.318+0000: 74077.372: [GC [PSYoungGen: 29832K->737K(32896K)] 53707K->24917K(73856K), 0.0056640 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-13T08:10:00.418+0000: 74755.471: [GC [PSYoungGen: 30529K->712K(32768K)] 54709K->25199K(73728K), 0.0057540 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-13T08:22:21.029+0000: 75496.083: [GC [PSYoungGen: 30536K->448K(33088K)] 55023K->25571K(74048K), 0.0061960 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
2012-02-13T08:34:25.303+0000: 76220.357: [GC [PSYoungGen: 30720K->304K(33024K)] 55843K->25817K(73984K), 0.0048320 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
