2012-01-22T18:12:12.737+0000: 0.262: [GC [PSYoungGen: 3072K->502K(3584K)] 3072K->594K(9984K), 0.0052240 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-01-22T18:12:12.895+0000: 0.420: [GC [PSYoungGen: 3574K->504K(6656K)] 3666K->1112K(13056K), 0.0057690 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-01-22T18:12:13.078+0000: 0.604: [GC [PSYoungGen: 6627K->496K(6656K)] 7235K->1738K(13056K), 0.0060870 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-01-22T18:12:13.103+0000: 0.628: [GC [PSYoungGen: 985K->496K(12800K)] 2228K->1817K(19200K), 0.0039460 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-01-22T18:12:13.107+0000: 0.632: [Full GC (System) [PSYoungGen: 496K->0K(12800K)] [ParOldGen: 1321K->1755K(6400K)] 1817K->1755K(19200K) [PSPermGen: 7898K->7888K(15872K)], 0.0740170 secs] [Times: user=0.07 sys=0.00, real=0.08 secs] 
2012-01-22T18:12:13.404+0000: 0.929: [GC [PSYoungGen: 12288K->512K(12800K)] 14043K->2789K(19200K), 0.0064040 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
2012-01-22T18:12:13.600+0000: 1.126: [GC [PSYoungGen: 12800K->500K(24128K)] 15077K->3416K(30528K), 0.0063560 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
2012-01-22T18:12:14.250+0000: 1.775: [GC [PSYoungGen: 24116K->1464K(25088K)] 27032K->4379K(31488K), 0.0090520 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-01-22T18:12:14.890+0000: 2.416: [GC [PSYoungGen: 25080K->1661K(48320K)] 27995K->5332K(54720K), 0.0118160 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-01-22T18:12:16.172+0000: 3.697: [GC [PSYoungGen: 48317K->2238K(48896K)] 51988K->7255K(55296K), 0.0186750 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2012-01-22T18:12:17.337+0000: 4.862: [GC [PSYoungGen: 48894K->2292K(44544K)] 53911K->10640K(52992K), 0.0279860 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2012-01-22T18:12:17.365+0000: 4.891: [Full GC [PSYoungGen: 2292K->1520K(44544K)] [ParOldGen: 8347K->8447K(16192K)] 10640K->9967K(60736K) [PSPermGen: 31866K->31805K(60032K)], 0.3249630 secs] [Times: user=0.32 sys=0.01, real=0.33 secs] 
2012-01-22T18:12:43.303+0000: 30.828: [GC [PSYoungGen: 43760K->2729K(44992K)] 52207K->12130K(61184K), 0.0379930 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2012-01-22T18:22:48.256+0000: 635.782: [GC [PSYoungGen: 44969K->4528K(44992K)] 54370K->14275K(61184K), 0.0194370 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2012-01-22T18:39:14.280+0000: 1621.806: [GC [PSYoungGen: 44976K->2550K(45824K)] 54723K->14780K(62016K), 0.0193320 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2012-01-22T19:12:17.690+0000: 3605.215: [GC [PSYoungGen: 38760K->3213K(45888K)] 50990K->15443K(62080K), 0.0078990 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
